# 出典：Ahrefs未取得（2026-08-30時点でワークスペースAPIユニット枯渇：399,971/400,000使用、リセット2026-09-01）
# 検索Vol・KDは全件「要取得」。推定値は記載しない。
# 下記KW候補は Ahrefs のサジェスト/関連KWではなく、上位表示メディアの見出し・タイトルから抽出した定性的な候補（WebSearch 2026-08-30）。
KW候補	クラスタ	検索意図	想定接続USP	検索Vol	KD	備考
SIer 転職	主KW	情報収集	ビジネス戦闘力／生涯年収	要取得	要取得	主KW。上位はIT特化エージェントのコラムが寡占
SIer 転職先	転職先選定	比較検討	独自求人44,000件	要取得	要取得	Web系／ITコンサル／社内SE／SaaSの比較表で受ける
SIer から Web系	転職先選定	how-to	生の選考対策	要取得	要取得	上位記事に専用ページあり。年収レンジの出典が必要
SIer から 社内SE	転職先選定	比較検討	独自求人44,000件	要取得	要取得	安定志向セグメント。年収上限の論点
SIer から ITコンサル	転職先選定	比較検討	ビジネス戦闘力	要取得	要取得	年収レンジ上振れ。USPとの親和性が最も高い
SIer やめとけ	ネガティブ動機	悩み解決	担当者を選べる	要取得	要取得	多重下請け構造の説明ブロックで受ける。特定企業の実名批判はしない
SIer 辞めたい	ネガティブ動機	悩み解決	担当者を選べる	要取得	要取得	感情面。H3で受ける想定
SES 辞めたい	ネガティブ動機	悩み解決	生の選考対策	要取得	要取得	客先常駐。SIerと意図が近接、カニバリ確認要
SIer 多重下請け	構造理解	定義	ビジネス戦闘力	要取得	要取得	一次情報（公的統計）へのリンクが必要
SIer 転職 30代	属性	悩み解決	生の選考対策	要取得	要取得	属性別H3の候補
SIer 転職 未経験	属性	how-to	生の選考対策	要取得	要取得	意図が分岐。単独記事化の可否は要判断
SIer エンジニア 年収	年収	情報収集	生涯年収	要取得	要取得	年収レンジは出典必須。推定禁止
