# STEP① 関連KW洗い出し／対象KW：社内SE転職 大手　基準日：2026-09-02
# 出典：Ahrefs Keywords Explorer（matching-terms / overview、country=jp、2026-09-02取得）＋WebSearch関連検索（2026-09-02実施）
# APIユニット：workspace 9,053/400,000使用（リセット2026-10-01）。本取得での消費 計5,676ユニット。
# KD＝Ahrefs Keyword Difficulty。null返却は「要取得」と表記（推定値は入れない）。
# 【注意】KDが軒並み0〜1で返るのは日本語ロングテールでの既知傾向。SERP実測は STEP② で別途確認すること。
# 【カニバリ注意】docs/articles/SIer転職_本文_20260830.html が「SIer 転職」を狙い、h3「④社内SE・⑤プライム／大手SIerへ転職する場合」およびFAQ「ベンダーコントロール」「職務経歴書」「志望動機」「年代別」「エージェント選び」を既に保有。
#   本記事は「大手企業（発注者側）の情報システム部門」視点＝組織構造・選考要件・年収レンジ・求人の出方に限定し、SIer側の退職理由・転職先比較は扱わない。
分類	KW	検索Vol	KD	検索意図の説明	想定H2/H3での受け先	カニバリ判定
Know	社内seとは	2600	0	定義・職種範囲を知りたい	導入直後の用語解説h3	可（SIer記事は定義未掲載）
Know	情シス 社内se 違い	300	0	情シス／社内SEの呼称差を知りたい	大手の情シス組織構造H2内h3	可
Know	社内se 仕事内容	600	1	日々の業務内容を知りたい	大手の情シス組織構造H2内h3	可
Know	社内se 大手企業	30	0	大手の社内SEは何が違うか知りたい	大手の情シス組織構造H2（本記事の中核）	可（本記事固有）
Know	ベンダーコントロール	800	0	大手社内SEの中核業務の定義を知りたい	選考要件H2内h3（初出時に用語解説）	★要調整（SIer記事FAQに既出。本記事は「発注者側の統制業務」として定義から解説し、SIer記事FAQは職務経歴書の書き方に限定するよう起票）
Know	社内se 年収	900	0	年収相場を知りたい	年収レンジH2（※数値は要取得。単一出典で定義が揃うまで本文掲載しない）	可
Know	社内se やめとけ	1700	0	ネガティブ評判の真偽を確認したい	大手社内SEの実態H2内h3	可
Know	社内se 勝ち組	700	0	待遇・働き方が本当に良いのか知りたい	大手社内SEの実態H2内h3	可
Know	社内se 将来性	200	0	DX・内製化で職種が伸びるか知りたい	大手の情シス組織構造H2内h3	可
Know	社内se キャリアパス	250	0	入社後の昇進・職種展開を知りたい	キャリアパスH2	可
Know	社内se 転職 難しい	350	0	大手は狭き門なのか知りたい	選考要件H2内h3	可
Know	社内se 未経験	700	0	実務未経験でも入れるか知りたい	FAQ h3	可
Compare	社内se転職 大手	70	要取得	大手の社内SE転職を検討している（対象KW・表記ゆれ）	タイトル／リード／全体	—（対象KW）
Compare	社内se 転職 大手	60	0	大手の社内SE転職を検討している（対象KW正規形）	タイトル／リード／全体	—（対象KW）
Compare	社内se 大手	80	0	大手の社内SEポジションを比較したい	大手／中堅・中小の比較表（必須表）	可
Compare	se 転職 大手	100	0	SEから大手への転職全般を比較	大手／中堅・中小の比較表	可
Compare	社内se 優良企業	200	0	どの企業が当たりか比較したい	求人の出方H2内h3	可
Compare	社内se ホワイト	100	0	労働環境で企業を比較したい	大手社内SEの実態H2内h3	可
Compare	社内se 転職 30代	40	0	30代の勝ち筋を比較	年代別h3	★要調整（SIer記事h3「30代・40代」と重複。本記事は「大手の選考で見られる要件」に限定）
Compare	社内se 転職 40代	30	要取得	40代の可否を比較	年代別h3	★要調整（同上）
Compare	社内se 資格	700	0	資格の費用対効果を比較	選考要件H2内h3	可
Compare	sierから社内se	50	要取得	SIerからの転職適性を比較	FAQ h3（SIer記事へ内部リンク）	★要調整（SIer記事h3と正面衝突。本記事はFAQ1問＋内部リンクに留める）
Compare	社内se 転職 失敗	70	0	失敗パターンを事前に知りたい	注意点H2内h3	可
Do	社内se 求人	2900	0	求人を探したい	求人の出方H2＋CTA	可
Do	社内se 中途採用	70	要取得	中途枠の有無・時期を知りたい	求人の出方H2内h3	可
Do	社内se 職務経歴書	250	0	書類を作りたい	選考対策H2内h3	★要調整（SIer記事h3と重複。本記事は「大手情シスの求人票要件への対応」に限定）
Do	社内se 志望動機	600	0	志望動機の型が欲しい	選考対策H2内h3	★要調整（同上）
Do	社内se 面接対策	250	要取得	面接を突破したい	選考対策H2内h3＋CTA	可
Do	社内se 転職エージェント	500	0	相談先を決めたい	CTA直上h3（担当CA指名制・独自求人を訴求）	可
Do	dx推進 求人	200	0	DX推進ポジションの求人を見たい	求人の出方H2内h3	可
