# STEP③ 付随：転職先タイプ別 年収レンジの出典候補／基準日：2026-08-30
# 【重要】下記はWebSearchのスニペット経由で得た二次情報。WebFetchがEGRESS_BLOCKEDのため一次ページでの原文確認ができていない。
# 本文掲載前に必ず一次ソース（doda公式・厚労省統計）を開いて 値＋時点＋出典 の3点を確認すること。未確認のまま本文に書かない。
転職先タイプ	指標	値	時点	出典（要一次確認）	確認状況
SIer（現職・比較の基準）	システムエンジニア 平均年収	515.9万円	令和4年	厚生労働省「賃金構造基本統計調査」	要一次確認（e-Stat原表で職種区分と定義を確認）
SIer（分類別）	ユーザー系 平均年収／20代／30代	473万円／417万円／528万円	時点表記なし	マイナビ転職ITエージェント（競合記事内の自社データ）	要確認（時点不明。競合の自社データのため自記事での引用可否を判断）
SIer（分類別）	メーカー系 平均年収／20代／30代	470万円／389万円／540万円	時点表記なし	同上	要確認（時点不明）
SIer（分類別）	独立系 平均年収／20代／30代	453万円／385万円／502万円	時点表記なし	同上	要確認（時点不明）
IT全体（参考）	ITエンジニア 平均年収	469万円	2024年9月〜2025年8月集計	doda「平均年収ランキング2025」	要一次確認（doda.jp/guide/heikin/ 原表）
ITコンサル	ITコンサルタント 平均年収（男性／女性）	637万円／526万円	2025年版	doda「平均年収ランキング2025」	要一次確認
ITコンサル・PM系	プロジェクトマネジャー 平均年収	707万円	2024年9月〜2025年8月集計	doda「平均年収ランキング2025」技術系（IT/通信）	要一次確認
ITコンサル・PM系	セキュリティコンサルタント／アナリスト	649万円	同上	同上	要一次確認
SaaS・プリセールス	プリセールス 平均年収	642万円	同上	同上	要一次確認
社内SE	社内SE 平均年収	要取得	—	媒体により403万円〜614万円と大きく乖離（求人ボックス／社内SEナビ）。定義（情シス全般かIT企画か）が揃わない	本文掲載は保留。定義が一致する単一出典に絞って再取得
Web系事業会社	Webエンジニア 平均年収	要取得	—	媒体値（約550万円等）は出典元調査が不明	本文掲載は保留。一次調査に当たれない場合は掲載しない
SaaS	プロダクトマネージャー 年収レンジ	要取得	—	媒体値（700〜1,200万円等）は集計母数・調査方法が不明	本文掲載は保留
業界構造（数値の裏付け）	IT人材の将来不足規模	40〜80万人	平成31年4月	経済産業省「IT人材需給に関する調査（概要）」 https://www.meti.go.jp/policy/it_policy/jinzai/gaiyou.pdf	一次PDFあり。ただし2019年公表で古い。最新版の有無を要確認
