KW	クラスタ	検索意図	CV接続性(5)	勝てるか(5)	量(5)	安全性(5)	合計	検索Vol	KD	判定	メモ
転職エージェント 担当者 変更	担当者ミスマッチ	how-to	5	4	4	5	18	要取得	要取得	今回執筆	LPのUSP「担当者を選べる」がそのまま解になる。上位は大手の自社FAQ中心で一次情報の余地あり
転職エージェント 担当者 合わない	担当者ミスマッチ	悩み解決	5	4	4	5	18	要取得	要取得	同記事に内包	主KWと同一意図。単独記事にせず本記事のH2で受ける
転職エージェント 担当 変更 メール 例文	担当者ミスマッチ	テンプレ取得	4	5	3	5	17	要取得	要取得	同記事に内包	例文ブロックで強調スニペット狙い
転職エージェント 担当者 選べる	担当者ミスマッチ	サービス探索	5	5	2	5	17	要取得	要取得	次回候補	USP直撃。Volは小さいがCVRは最上位想定。LP側の最適化でも受けられる
転職エージェント 担当者 変更 気まずい	担当者ミスマッチ	感情	4	4	2	5	15	要取得	要取得	同記事に内包	H3で受ける
キャリアアドバイザー 合わない	担当者ミスマッチ	悩み解決	4	3	3	5	15	要取得	要取得	次回候補	主KWと意図が近い。カニバリ回避のため本記事のリライトで吸収する案も
転職エージェント 複数 掛け持ち	エージェント活用	how-to	3	3	4	4	14	要取得	要取得	次回候補	CV接続はやや弱いが顕在層。/column/ の既存記事要確認
年収 上げる 転職	年収アップ	情報収集	3	2	5	3	13	要取得	要取得	保留	Vol大だが大手メディアが寡占。/column/ とのカニバリ懸念大
転職エージェント おすすめ	比較	比較検討	4	1	5	2	12	要取得	要取得	見送り	比較アフィリ寡占。サービス配下のパスでは勝率が低い
年収エージェント 評判	指名	指名検索	5	5	2	0	12	90	要取得	見送り	/column/annual-income-agent-reputation/ が既に1位。カニバリのため新規で狙わない
ビジネス戦闘力	独自概念	定義	4	5	1	5	15	要取得	要取得	次回候補	年収チャンネル発の独自概念。指名獲得・ブランド系。Vol要確認
