# STEP① 関連KW洗い出し／対象KW：SIer 転職　基準日：2026-08-30
# 出典：WebSearch（2026-08-30実施）の上位表示ページのタイトル・見出し・関連検索から抽出
# 検索Vol・KDは全件「要取得」。理由：Ahrefsワークスペース APIユニット枯渇（399,971/400,000使用・残29、リセット2026-09-01）
# ※推定値は記載しない。ユニット回復後（2026-09-01以降）にkeywords-explorerで再取得すること。
分類	KW	検索意図の説明	想定H2/H3での受け先	検索Vol	KD
Know	SIerとは	定義・業務範囲を知りたい	導入直後の用語解説	要取得	要取得
Know	SIer 種類 メーカー系 ユーザー系 独立系	SIerの4分類を知りたい	業界構造H2内のh3	要取得	要取得
Know	SIer SES 違い	契約・働き方の違いを知りたい	用語解説h3	要取得	要取得
Know	SIer 多重下請け構造	年収が上がらない構造要因を知りたい	年収が伸びない理由H2	要取得	要取得
Know	SIer 上流工程 とは	自分の担当工程の市場価値を知りたい	経歴言語化H2（コンテンツギャップ）	要取得	要取得
Know	SIer 年収 平均	自分の年収の相場観を知りたい	年収レンジ比較表	要取得	要取得
Know	SIer 年収 ランキング	企業別の年収序列を知りたい	比較表の補足h3	要取得	要取得
Know	SIer 将来性	業界の先行きが不安	転職を考えるべきタイミングH2	要取得	要取得
Know	SIer やめとけ	ネガティブ評判の真偽を確認したい	悩みの言語化H2	要取得	要取得
Know	SIer きつい 激務	労働環境の実態を知りたい	転職理由h3	要取得	要取得
Know	SIer 転職 理由	他の人の転職動機を知りたい	転職理由h3	要取得	要取得
Know	SIer 転職 難易度	自分でも通るのか知りたい	難易度h3	要取得	要取得
Know	SIer キャリアパス	この先の選択肢を知りたい	キャリアパスH2	要取得	要取得
Compare	SIer 転職先 おすすめ	転職先の候補を比較したい	転職先比較表（必須表）	要取得	要取得
Compare	SIer から Web系 転職	Web系事業会社との適合を比較	転職先比較H2内h3	要取得	要取得
Compare	SIer から 社内SE 転職	安定志向の選択肢を比較	転職先比較H2内h3	要取得	要取得
Compare	SIer から ITコンサル 転職	年収上振れの選択肢を比較	転職先比較H2内h3	要取得	要取得
Compare	SIer から SaaS 転職	SaaS企業（PdM/セールスエンジニア等）を比較	転職先比較H2内h3	要取得	要取得
Compare	SIer 事業会社 どっち	受託と自社開発を比較	転職先比較H2内h3	要取得	要取得
Compare	SIer 転職 年収 上がる	年収が上がる転職パターンを比較	年収レンジ比較表	要取得	要取得
Compare	大手SIer 転職 難易度	同業上位への転職と外部転職を比較	キャリアパスH2内h3	要取得	要取得
Compare	SIer 転職 30代	年代別の勝ち筋を比較	年代別h3	要取得	要取得
Compare	SIer 転職 20代	第二新卒枠との比較	年代別h3	要取得	要取得
Compare	SIer 転職 40代	マネジメント経験の売り方を比較	年代別h3	要取得	要取得
Compare	SIer 転職 資格 有利	資格の費用対効果を比較	経歴言語化H2内h3	要取得	要取得
Compare	SIer 転職 エージェント おすすめ	エージェントを比較検討	エージェント選びH2＋CTA	要取得	要取得
Compare	SIer 転職 後悔 失敗	失敗パターンを事前に比較	FAQ／注意点h3	要取得	要取得
Do	SIer 転職 職務経歴書 書き方	今すぐ書類を作りたい	経歴言語化H2（最重要・ギャップ狙い）	要取得	要取得
Do	SIer 転職 志望動機 例文	志望動機の型が欲しい	選考対策H2内h3＋CTA	要取得	要取得
Do	SIer 転職 面接 対策 逆質問	面接を突破したい	選考対策H2内h3	要取得	要取得
Do	SIer 転職 スキル 棚卸し	経歴を整理したい	経歴言語化H2内h3	要取得	要取得
Do	SIer 転職 求人 スカウト	求人を見たい	独自求人44,000件訴求＋CTA	要取得	要取得
Do	SIer 転職 相談 無料	相談先を決めたい	CTA直上h3	要取得	要取得
Do	年収エージェント 評判	指名検索・サービス比較	記事末の関連記事リンク（/column/annual-income-agent-reputation/）	要取得	要取得
